freedom,freedomLong,2017,2020,2021,2022
religion,"Freedom of Religion",15,47,56,24
speech,"Freedom of Speech",48,73,74,63
press,"Freedom of the Press",14,42,50,20
assembly,"Right of Assembly",10,34,30,16
petition,"Right to Petition",3,14,20,6
none,"Can't name any/Don't know",37,19,17,26
